,ori,lo_transittime
510,1132.0,9.0
511,1134.0,7.0
512,1139.0,20.0
513,1140.0,21.0
514,1142.0,9.0
515,1144.0,10.0
516,1146.0,4.0
517,1159.0,8.0
518,1164.0,6.0
519,1166.0,8.0
520,1168.0,10.0
521,1170.0,27.0
522,1171.0,4.0
523,1173.0,12.0
524,1174.0,4.0
525,1175.0,7.0
526,1179.0,8.0
527,1182.0,6.0
528,1184.0,10.0
529,1186.0,18.0
530,1187.0,10.0
531,1191.0,28.0
532,1196.0,7.0
533,1197.0,0.0
534,1198.0,10.0
535,1200.0,15.0
536,1201.0,1.0
537,1203.0,13.0
538,1205.0,10.0
539,1209.0,7.0
540,1213.0,3.0
541,1215.0,17.0
542,1219.0,6.0
543,1221.0,4.0
544,1233.0,3.0
545,1234.0,5.0
546,1235.0,8.0
547,1236.0,24.0
548,1239.0,12.0
549,1240.0,9.0
550,1241.0,12.0
551,1243.0,19.0
552,1244.0,26.0
553,1248.0,8.0
554,1254.0,25.0
555,1256.0,4.0
556,1257.0,3.0
557,1260.0,5.0
558,1261.0,16.0
559,1263.0,13.0
560,1264.0,2.0
561,1266.0,30.0
562,1270.0,13.0
563,1272.0,13.0
564,1278.0,7.0
565,1282.0,5.0
566,1283.0,9.0
567,1285.0,7.0
568,1286.0,10.0
569,1290.0,13.0
570,1292.0,7.0
571,1296.0,11.0
572,1297.0,3.0
573,1298.0,5.0
574,1301.0,11.0
575,1302.0,17.0
576,1303.0,23.0
577,1307.0,4.0
578,1308.0,14.0
579,1310.0,5.0
580,1312.0,8.0
581,1314.0,10.0
582,1315.0,9.0
583,1316.0,18.0
584,1318.0,24.0
585,1321.0,10.0
586,1324.0,6.0
587,1325.0,7.0
588,1326.0,5.0
589,1327.0,22.0
590,1336.0,15.0
591,1339.0,3.0
592,1344.0,15.0
593,1350.0,11.0
